"Variabile","Maschi","Femmine","Totale"
"Popolazione censita al 1° gennaio","29131195","30685478","59816673"
"Nati vivi","215387","204697","420084"
"Morti","303652","330765","634417"
"Saldo naturale","-88265","-126068","-214333"
"Immigrati da altro comune","761298","723999","1485297"
"Emigrati per altro comune","761298","723999","1485297"
"Saldo migratorio interno","0","0","0"
"Immigrati dall'estero","168921","163857","332778"
"Emigrati per l'estero","94314","85191","179505"
"Saldo migratorio con l'estero","74607","78666","153273"
"Unità in più/meno dovute a variazioni territoriali","0","0","0"
"Aggiustamento statistico","-67441","-46684","-114125"
"Saldo totale","-81099","-94086","-175185"
"Popolazione censita al 31 dicembre","29050096","30591392","59641488"
"Numero di famiglie al 31 dicembre","","","25847172"
"Popolazione censita al 31 dicembre residente in famiglia","28852060","30407361","59259421"
"Numero medio di componenti per famiglia al 31 dicembre","","","2.3"
"Numero di convivenze al 31 dicembre","","","34342"
"Popolazione censita al 31 dicembre residente in convivenza","198036","184031","382067"
