"Variabile","Maschi","Femmine","Totale"
"Popolazione censita al 1° gennaio","28818956","30211177","59030133"
"Nati vivi","202840","190493","393333"
"Morti","342306","372771","715077"
"Saldo naturale","-139466","-182278","-321744"
"Immigrati da altro comune","746273","725097","1471370"
"Emigrati per altro comune","746273","725097","1471370"
"Saldo migratorio interno","0","0","0"
"Immigrati dall'estero","217934","193051","410985"
"Emigrati per l'estero","78441","71748","150189"
"Saldo migratorio con l'estero","139493","121303","260796"
"Unità in più/meno dovute a variazioni territoriali","0","0","0"
"Aggiustamento statistico","-4151","32167","28016"
"Saldo totale","-4124","-28808","-32932"
"Popolazione censita al 31 dicembre","28814832","30182369","58997201"
"Numero di famiglie al 31 dicembre","","","26400326"
"Popolazione censita al 31 dicembre residente in famiglia","28632949","30013314","58646263"
"Numero medio di componenti per famiglia al 31 dicembre","","","2.2"
"Numero di convivenze al 31 dicembre","","","34535"
"Popolazione censita al 31 dicembre residente in convivenza","181883","169055","350938"
