"Variabile","Maschi","Femmine","Totale"
"Popolazione censita al 1° gennaio","29050096","30591392","59641488"
"Nati vivi","208431","196461","404892"
"Morti","359418","380899","740317"
"Saldo naturale","-150987","-184438","-335425"
"Immigrati da altro comune","680369","653311","1333680"
"Emigrati per altro comune","680369","653311","1333680"
"Saldo migratorio interno","0","0","0"
"Immigrati dall'estero","128288","119238","247526"
"Emigrati per l'estero","82331","77553","159884"
"Saldo migratorio con l'estero","45957","41685","87642"
"Unità in più/meno dovute a variazioni territoriali","0","0","0"
"Aggiustamento statistico","-78840","-78652","-157492"
"Saldo totale","-183870","-221405","-405275"
"Popolazione censita al 31 dicembre","28866226","30369987","59236213"
"Numero di famiglie al 31 dicembre","","","26205757"
"Popolazione censita al 31 dicembre residente in famiglia","28677024","30195324","58872348"
"Numero medio di componenti per famiglia al 31 dicembre","","","2.2"
"Numero di convivenze al 31 dicembre","","","33853"
"Popolazione censita al 31 dicembre residente in convivenza","189202","174663","363865"
