"Variabile","Maschi","Femmine","Totale"
"Popolazione censita al 1° gennaio","28866226","30369987","59236213"
"Nati vivi","205189","195060","400249"
"Morti","340210","361136","701346"
"Saldo naturale","-135021","-166076","-301097"
"Immigrati da altro comune","727401","695800","1423201"
"Emigrati per altro comune","727401","695800","1423201"
"Saldo migratorio interno","0","0","0"
"Immigrati dall'estero","167957","150409","318366"
"Emigrati per l'estero","83184","75128","158312"
"Saldo migratorio con l'estero","84773","75281","160054"
"Unità in più/meno dovute a variazioni territoriali","0","0","0"
"Aggiustamento statistico","2978","-68015","-65037"
"Saldo totale","-47270","-158810","-206080"
"Popolazione censita al 31 dicembre","28818956","30211177","59030133"
"Numero di famiglie al 31 dicembre","","","26206246"
"Popolazione censita al 31 dicembre residente in famiglia","28637511","30041284","58678795"
"Numero medio di componenti per famiglia al 31 dicembre","","","2.2"
"Numero di convivenze al 31 dicembre","","","34491"
"Popolazione censita al 31 dicembre residente in convivenza","181445","169893","351338"
